species001	Plasmodium falciparum	Plasmodium falciparum
species763	P. typicus	Pilophorus typicus
species763	Pilophorus species	Pilophorus species
species763	Pilophorus typicus	Pilophorus typicus
species764	P. curvatus	Pseudacteon curvatus
species764	P. tricuspis	Pseudacteon tricuspis
species764	Pseudacteon species	Pseudacteon species
species764	Pseudacteon tricuspis	Pseudacteon tricuspis
species764	S. invicta	Solenopsis invicta
species764	S. richteri	Solenopsis richteri
species764	Solenopsis invicta	Solenopsis invicta
species765	B. cucurbitae	Bactrocera cucurbitae
species765	B. dorsalis	Bactrocera dorsalis
species765	Bactrocera cucurbitae	Bactrocera cucurbitae
species765	Carica papaya	Carica papaya
species765	M. esculenta	Manihot esculenta
species765	Manihot esculenta	Manihot esculenta
species765	R. communis	Ricinus communis
species765	Ricinus communis	Ricinus communis
species765	Zea mays	Zea mays
species768	Cryptantha flava	Cryptantha flava
species769	Entamoeba coli	Entamoeba coli
species769	Entamoeba hartmanni	Entamoeba hartmanni
species769	Entamoeba polecki	Entamoeba polecki
species769	Entamoeba species	Entamoeba species
species770	Escherichia coli	Escherichia coli
species773	Cryptococcus neoformans	Cryptococcus neoformans
species774	B. napus	Brassica napus
species774	Brassica napus	Brassica napus
species775	B. burgdorferi	Borrelia burgdorferi
species775	Borrelia burgdorferi	Borrelia burgdorferi
species777	Ignicoccus hospitalis	Ignicoccus hospitalis
species777	Metallosphaera sedula	Metallosphaera sedula
species777	Thermoproteus neutrophilus	Thermoproteus neutrophilus
species778	L. edodes	Lentinula edodes
species778	Lentinula edodes	Lentinula edodes
species779	Methanoregula boonei	Methanoregula boonei
species779	Methanoregula formicica	Methanoregula formicica
species782	E. coli	Escherichia coli
species782	Escherichia coli	Escherichia coli
species782	S. coelicolor	Streptomyces coelicolor
species782	Streptomyces coelicolor	Streptomyces coelicolor
species783	Fusarium graminearum	Fusarium graminearum
species783	G. fujikuroi	Gibberella fujikuroi
species783	Gibberella fujikuroi	Gibberella fujikuroi
species784	Methanococcus maripaludis	Methanococcus maripaludis
species785	Staphylococcus epidermidis	Staphylococcus epidermidis
species786	V. paradoxus	Variovorax paradoxus
species786	Variovorax paradoxus	Variovorax paradoxus
species787	Streptomyces hyderabadensis	Streptomyces hyderabadensis
species787	Streptomyces olivaceus	Streptomyces olivaceus
species787	Streptomyces pactum	Streptomyces pactum
species787	Streptomyces parvulus	Streptomyces parvulus
species788	Agaricus brasiliensis	Agaricus brasiliensis
species788	Gordonia amarae	Gordonia amarae
species788	Gordonia humi	Gordonia humi
species788	Gordonia hydrophobica	Gordonia hydrophobica
species788	Gordonia malaquae	Gordonia malaquae
species788	Gordonia species	Gordonia species
species788	Gordonia terrae	Gordonia terrae
species789	Marinobacterium coralli	Marinobacterium coralli
species789	Marinobacterium maritimum	Marinobacterium maritimum
species789	Marinobacterium sediminicola	Marinobacterium sediminicola
species789	Marinobacterium stanieri	Marinobacterium stanieri
species789	Mussismilia hispida	Mussismilia hispida
species793	Arabidopsis thaliana	Arabidopsis thaliana
species800	Salmo salar	Salmo salar
